"WHO Reference Number","INN, Dosage Form and Strength","Product Type","Therapeutic Area",Applicant,"Dosage Form","Basis of Listing","Basis of alternative listing","Date of Prequalification"
HA108,"Zidovudine Capsules, hard 100mg","Finished Pharmaceutical Product",HIV/AIDS,"ViiV Healthcare UK Limited","Capsules, hard","Prequalification - Abridged",,"29  May,  2002"
HA109,"Zidovudine Capsules, hard 250mg","Finished Pharmaceutical Product",HIV/AIDS,"ViiV Healthcare UK Limited","Capsules, hard","Prequalification - Abridged",,"29  May,  2002"
HA110,"Lamivudine/Zidovudine Tablet, Film-coated 150mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"ViiV Healthcare BV","Tablet, Film-coated","Prequalification - Abridged",,"20  Mar,  2002"
HA114,"Zidovudine Solution for injection 10mg/mL","Finished Pharmaceutical Product",HIV/AIDS,"ViiV Healthcare UK Limited","Solution for injection","Prequalification - Abridged",,"20  Mar,  2002"
HA115,"Zidovudine Solution, Oral 50mg/5mL","Finished Pharmaceutical Product",HIV/AIDS,"ViiV Healthcare UK Limited","Solution, Oral","Prequalification - Abridged",,"20  Mar,  2002"
HA117,"Lamivudine Tablet, Film-coated 150mg","Finished Pharmaceutical Product",HIV/AIDS,"ViiV Healthcare BV","Tablet, Film-coated","Prequalification - Abridged",,"20  Mar,  2002"
HA128,"Lamivudine Solution, Oral 10mg/mL","Finished Pharmaceutical Product",HIV/AIDS,"ViiV Healthcare BV","Solution, Oral","Prequalification - Abridged",,"20  Mar,  2002"
HA200,"Nevirapine Suspension, Oral 50mg/5mL","Finished Pharmaceutical Product",HIV/AIDS,"Cipla Ltd","Suspension, Oral","Prequalification - Full",,"25  May,  2009"
HA286,"Lamivudine/Zidovudine Tablet, Film-coated 150mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Sun Pharmaceutical Industries Limited","Tablet, Film-coated","Prequalification - Full",,"11  Aug,  2005"
HA306,"Efavirenz Tablet, Film-coated 600mg","Finished Pharmaceutical Product",HIV/AIDS,"Sun Pharmaceutical Industries Limited","Tablet, Film-coated","Prequalification - Full",,"23  May,  2006"
HA381,"Lopinavir/Ritonavir Tablet, Film-coated 200mg/50mg","Finished Pharmaceutical Product",HIV/AIDS,"AbbVie Deutschland GmbH and Co. KG","Tablet, Film-coated","Prequalification - Abridged",,"30  Oct,  2006"
HA392,"Lamivudine/Zidovudine Tablet, Film-coated 150mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Full",,"23  Apr,  2008"
HA403,"Efavirenz Tablet, Film-coated 600mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Full",,"25  Jul,  2008"
HA410,"Tenofovir disoproxil fumarate Tablet, Film-coated 300mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Full",,"27  Oct,  2009"
HA414,"Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Full",,"30  Jun,  2010"
HA417,"Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 200mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Full",,"20  Aug,  2010"
HA424,"Lamivudine Tablet, Film-coated 150mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"14  Dec,  2010"
HA433,"Lamivudine/Nevirapine/Zidovudine Tablet, Dispersible 30mg/50mg/60mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Tablet, Dispersible","Prequalification - Full",,"26  Oct,  2009"
HA439,"Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 200mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Cipla Ltd","Tablet, Film-coated","Prequalification - Full",,"5  Oct,  2011"
HA444,"Efavirenz/Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 600mg/200mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Full",,"25  Oct,  2010"
HA459,"Lamivudine/Zidovudine Tablet, Film-coated 150mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"18  Oct,  2011"
HA466,"Efavirenz/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 600mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Full",,"25  Oct,  2010"
HA467,"Ritonavir Tablet, Film-coated 100mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Full",,"14  Dec,  2010"
HA479,"Ceftriaxone (sodium) Powder for solution for injection 1000mg","Finished Pharmaceutical Product",HIV/AIDS,"Egyptian International Pharmaceutical Industries","Powder for solution for injection","Prequalification - Full",,"16  May,  2014"
HA480,"Ceftriaxone (sodium) Powder for solution for injection 500mg","Finished Pharmaceutical Product",HIV/AIDS,"Egyptian International Pharmaceutical Industries","Powder for solution for injection","Prequalification - Full",,"16  May,  2014"
HA485,"Lamivudine/Zidovudine Tablet, Film-coated 150mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Micro Labs Limited","Tablet, Film-coated","Prequalification - Full",,"25  Oct,  2010"
HA486,"Zidovudine Solution, Oral 10mg","Finished Pharmaceutical Product",HIV/AIDS,"Hetero Labs Ltd","Solution, Oral","Prequalification - Full",,"3  Nov,  2011"
HA491,"Ritonavir Tablet, Film-coated 100mg","Finished Pharmaceutical Product",HIV/AIDS,"AbbVie Deutschland GmbH and Co. KG","Tablet, Film-coated","Prequalification - Abridged",,"1  Jun,  2010"
HA492,"Lopinavir/Ritonavir Tablet, Film-coated 200mg/50mg","Finished Pharmaceutical Product",HIV/AIDS,"Hetero Labs Ltd","Tablet, Film-coated","Prequalification - Full",,"11  Jan,  2013"
HA498,"Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 200mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Hetero Labs Ltd","Tablet, Film-coated","Prequalification - Full",,"24  Jun,  2013"
HA514,"Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"10  Apr,  2014"
HA515,"Ganciclovir (sodium) Powder for solution for injection 500mg","Finished Pharmaceutical Product",HIV/AIDS,"Hainan Poly Pharma Co Ltd","Powder for solution for injection","Prequalification - Full",,"20  Dec,  2012"
HA516,"Tenofovir disoproxil fumarate Tablet, Film-coated 300mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"23  May,  2013"
HA521,"Lamivudine/Zidovudine Tablet, Film-coated 150mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Hetero Labs Ltd","Tablet, Film-coated","Prequalification - Full",,"14  Jun,  2013"
HA523,"Lamivudine Solution, Oral 10mg/mL","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Solution, Oral","Prequalification - Full",,"5  Feb,  2013"
HA525,"Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Sun Pharmaceutical Industries Limited","Tablet, Film-coated","Prequalification - Full",,"11  Sep,  2012"
HA526,"Zidovudine Solution, Oral 10mg/mL","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Solution, Oral","Prequalification - Full",,"14  Jun,  2013"
HA529,"Darunavir (ethanolate) Tablet, Film-coated 75mg","Finished Pharmaceutical Product",HIV/AIDS,"Janssen Research & Development LLC","Tablet, Film-coated","Prequalification - Abridged",,"11  Sep,  2012"
HA530,"Darunavir (ethanolate) Tablet, Film-coated 150mg","Finished Pharmaceutical Product",HIV/AIDS,"Janssen Research & Development LLC","Tablet, Film-coated","Prequalification - Abridged",,"11  Sep,  2012"
HA532,"Etravirine Tablet 100mg","Finished Pharmaceutical Product",HIV/AIDS,"Janssen Research & Development LLC",Tablet,"Prequalification - Abridged",,"11  Sep,  2012"
HA535,"Tenofovir disoproxil fumarate Tablet, Film-coated 300mg","Finished Pharmaceutical Product",HIV/AIDS,"Strides Pharma Science Limited","Tablet, Film-coated","Prequalification - Full",,"21  Oct,  2013"
HA538,"Efavirenz/Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 600mg/200mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Hetero Labs Ltd","Tablet, Film-coated","Prequalification - Full",,"19  Feb,  2014"
HA549,"Efavirenz/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 600mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Hetero Labs Ltd","Tablet, Film-coated","Prequalification - Full",,"30  Jun,  2017"
HA551,"Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 200mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Sun Pharmaceutical Industries Limited","Tablet, Film-coated","Prequalification - Full",,"12  Feb,  2015"
HA552,"Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 200mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Strides Pharma Science Limited","Tablet, Film-coated","Prequalification - Full",,"18  Feb,  2015"
HA553,"Efavirenz/Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 600mg/200mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Strides Pharma Science Limited","Tablet, Film-coated","Prequalification - Full",,"12  Dec,  2014"
HA561,"Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 200mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"8  Apr,  2014"
HA562,"Efavirenz/Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 600mg/200mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"17  Nov,  2014"
HA572,"Lamivudine/Zidovudine Tablet, Dispersible 30mg/60mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Tablet, Dispersible","Prequalification - Full",,"10  Apr,  2014"
HA573,"Lopinavir/Ritonavir Tablet, Film-coated 100mg/25mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"9  Sep,  2015"
HA574,"Lopinavir/Ritonavir Tablet, Film-coated 200mg/50mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"9  Sep,  2015"
HA595,"Ondansetron (hydrochloride) Tablet, Film-coated 4mg","Finished Pharmaceutical Product",HIV/AIDS,"Cadila Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"27  Aug,  2015"
HA596,"Ondansetron (hydrochloride) Tablet, Film-coated 8mg","Finished Pharmaceutical Product",HIV/AIDS,"Cadila Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"27  Aug,  2015"
HA597,"Ondansetron (hydrochloride) Solution for injection 4mg/2mL","Finished Pharmaceutical Product",HIV/AIDS,"Demo SA","Solution for injection","Prequalification - Abridged",,"21  Oct,  2013"
HA598,"Sulfamethoxazole/Trimethoprim Tablet 400mg/80mg","Finished Pharmaceutical Product",HIV/AIDS,"Micro Labs Limited",Tablet,"Prequalification - Full",,"23  May,  2016"
HA599,"Sulfamethoxazole/Trimethoprim Tablet 800mg/160mg","Finished Pharmaceutical Product",HIV/AIDS,"Micro Labs Limited",Tablet,"Prequalification - Full",,"23  May,  2016"
HA600,"Etravirine Tablet 25mg","Finished Pharmaceutical Product",HIV/AIDS,"Janssen-Cilag International NV",Tablet,"Prequalification - Abridged",,"21  Oct,  2013"
HA602,"Aciclovir Powder for solution for injection 250mg/vial","Finished Pharmaceutical Product",HIV/AIDS,"Demo SA","Powder for solution for injection","Prequalification - Abridged",,"8  Jan,  2014"
HA607,"Ondansetron (hydrochloride) Solution for injection 8mg/4mL","Finished Pharmaceutical Product",HIV/AIDS,"Demo SA","Solution for injection","Prequalification - Abridged",,"21  Oct,  2013"
HA620,"Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Micro Labs Limited","Tablet, Film-coated","Prequalification - Full",,"9  Jul,  2015"
HA621,"Ritonavir Tablet, Film-coated 25mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Full",,"16  Dec,  2015"
HA622,"Ceftriaxone (sodium) Powder for solution for injection 1g","Finished Pharmaceutical Product",HIV/AIDS,"Sinopharm Zhijun (Shenzhen) Pharm Co. Ltd","Powder for solution for injection","Prequalification - Full",,"15  Aug,  2016"
HA631,"Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 200mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Micro Labs Limited","Tablet, Film-coated","Prequalification - Full",,"27  May,  2016"
HA634,"Dolutegravir (sodium) Tablet, Film-coated 50mg","Finished Pharmaceutical Product",HIV/AIDS,"ViiV Healthcare BV","Tablet, Film-coated","Prequalification - Abridged",,"14  Oct,  2014"
HA635,"Abacavir (sulfate)/Lamivudine Tablet, Film-coated 600mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Full",,"16  Dec,  2015"
HA636,"Morphine hydrochloride Tablets, Prolonged release 10mg","Finished Pharmaceutical Product",HIV/AIDS,"GL Pharma GmbH","Tablets, Prolonged release","Prequalification - Abridged",,"12  Dec,  2014"
HA637,"Morphine hydrochloride Tablets, Prolonged release 30mg","Finished Pharmaceutical Product",HIV/AIDS,"GL Pharma GmbH","Tablets, Prolonged release","Prequalification - Abridged",,"12  Dec,  2014"
HA638,"Morphine hydrochloride Tablets, Prolonged release 60mg","Finished Pharmaceutical Product",HIV/AIDS,"GL Pharma GmbH","Tablets, Prolonged release","Prequalification - Abridged",,"12  Dec,  2014"
HA639,"Isoniazid/Pyridoxine hydrochloride/Sulfamethoxazole/Trimethoprim Tablet 300mg/25mg/800mg/160mg","Finished Pharmaceutical Product",HIV/AIDS,"Cipla Ltd",Tablet,"Prequalification - Full",,"21  Dec,  2016"
HA640,"Rifabutin Capsules, hard 150mg","Finished Pharmaceutical Product",HIV/AIDS,"Lupin Ltd","Capsules, hard","Prequalification - Abridged",,"17  Nov,  2014"
HA645,"Dapsone Tablet 100mg","Finished Pharmaceutical Product",HIV/AIDS,"Everest Life Sciences LLC",Tablet,"Prequalification - Abridged",,"13  Jan,  2015"
HA650,"Lopinavir/Ritonavir Tablet, Film-coated 100mg/25mg","Finished Pharmaceutical Product",HIV/AIDS,"Hetero Labs Ltd","Tablet, Film-coated","Prequalification - Full",,"19  Jun,  2018"
HA655,"Lamivudine/Zidovudine Tablet, Film-coated 150mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Shanghai Desano Bio-Pharmaceutical Co., Ltd.","Tablet, Film-coated","Prequalification - Full",,"21  Jul,  2017"
HA656,"Lamivudine/Zidovudine Tablet, Film-coated 150mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Anhui Biochem Bio-Pharmaceutical Co Ltd","Tablet, Film-coated","Prequalification - Full",,"18  Dec,  2018"
HA657,"Abacavir (sulfate)/Lamivudine Tablet, Film-coated 600mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Hetero Labs Ltd","Tablet, Film-coated","Prequalification - Full",,"28  Nov,  2017"
HA662,"Abacavir (sulfate)/Lamivudine Tablet, Dispersible 120mg/60mg","Finished Pharmaceutical Product",HIV/AIDS,"Cipla Ltd","Tablet, Dispersible","Prequalification - Full",,"21  Dec,  2016"
HA666,"Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Cipla Ltd","Tablet, Film-coated","Prequalification - Full",,"21  Dec,  2016"
HA668,"Lamivudine Tablet, Film-coated 300mg","Finished Pharmaceutical Product",HIV/AIDS,"Beximco Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"21  Jan,  2019"
HA678,"Dolutegravir (sodium) Tablet, Film-coated 50mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Full",,"31  Oct,  2018"
HA679,"Tenofovir disoproxil fumarate Tablet, Film-coated 300mg","Finished Pharmaceutical Product",HIV/AIDS,"Laurus Labs Limited","Tablet, Film-coated","Prequalification - Full",,"12  Dec,  2017"
HA680,"Dolutegravir (sodium) Tablet, Film-coated 50mg","Finished Pharmaceutical Product",HIV/AIDS,"Cipla Ltd","Tablet, Film-coated","Prequalification - Full",,"24  Oct,  2017"
HA682,"Dolutegravir (sodium) Tablet, Film-coated 50mg","Finished Pharmaceutical Product",HIV/AIDS,"Hetero Labs Ltd","Tablet, Film-coated","Prequalification - Full",,"17  Jul,  2018"
HA683,"Darunavir (ethanolate) Tablet, Film-coated 800mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Full",,"11  Jun,  2019"
HA685,"Darunavir (ethanolate) Tablet, Film-coated 600mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Full",,"11  Jun,  2019"
HA688,"Dolutegravir (sodium)/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 50mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Full",,"18  Dec,  2018"
HA691,"Sulfamethoxazole/Trimethoprim Tablet 800mg/160mg","Finished Pharmaceutical Product",HIV/AIDS,"Milan Laboratories (India) Pvt Ltd",Tablet,"Prequalification - Full",,"17  Dec,  2019"
HA692,"Ceftriaxone (sodium) Powder for solution for injection 1g","Finished Pharmaceutical Product",HIV/AIDS,"Roche Products Limited","Powder for solution for injection","Prequalification - Abridged",,"22  Feb,  2018"
HA694,"Dolutegravir (sodium) Tablet, Film-coated 50mg","Finished Pharmaceutical Product",HIV/AIDS,"Shanghai Desano Bio-Pharmaceutical Co., Ltd.","Tablet, Film-coated","Prequalification - Full",,"2  Nov,  2020"
HA696,"Dolutegravir (sodium)/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 50mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Hetero Labs Ltd","Tablet, Film-coated","Prequalification - Full",,"19  Dec,  2019"
HA698,"Abacavir (sulfate)/Lamivudine Tablet, Film-coated 600mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Sun Pharmaceutical Industries Limited","Tablet, Film-coated","Prequalification - Full",,"11  Jun,  2019"
HA699,"Dolutegravir (sodium)/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 50mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Sun Pharmaceutical Industries Limited","Tablet, Film-coated","Prequalification - Full",,"17  Dec,  2019"
HA701,"Dolutegravir (sodium) Tablet, Film-coated 50mg","Finished Pharmaceutical Product",HIV/AIDS,"Emcure Pharmaceuticals Limited","Tablet, Film-coated","Prequalification - Full",,"3  Mar,  2020"
HA702,"Dolutegravir (sodium)/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 50mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Cipla Ltd","Tablet, Film-coated","Prequalification - Full",,"5  Apr,  2019"
HA703,"Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Lupin Ltd","Tablet, Film-coated","Prequalification - Full",,"18  Dec,  2019"
HA704,"Itraconazole Capsules, hard 100mg","Finished Pharmaceutical Product",HIV/AIDS,"Laboratorios Liconsa S.A.","Capsules, hard","Prequalification - Abridged",,"17  Jul,  2018"
HA705,"Amphotericin B Powder for concentration for dispersion for infusion 50mg","Finished Pharmaceutical Product",HIV/AIDS,"Gilead Sciences Ireland UC","Powder for concentration for dispersion for infusion","Prequalification - Abridged",,"19  Jun,  2018"
HA706,"Abacavir (sulfate)/Lamivudine Tablet, Film-coated 600mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"ViiV Healthcare BV","Tablet, Film-coated","Prequalification - Abridged",,"19  Jun,  2018"
HA707,"Dolutegravir (sodium)/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 50mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Laurus Labs Limited","Tablet, Film-coated","Prequalification - Full",,"19  Nov,  2019"
HA708,"Dolutegravir (sodium) Tablet, Film-coated 50mg","Finished Pharmaceutical Product",HIV/AIDS,"Sun Pharmaceutical Industries Limited","Tablet, Film-coated","Prequalification - Full",,"18  Aug,  2020"
HA709,"Darunavir Tablet, Film-coated 400mg","Finished Pharmaceutical Product",HIV/AIDS,"Laurus Labs Limited","Tablet, Film-coated","Prequalification - Full",,"12  Jun,  2020"
HA710,"Darunavir Tablet, Film-coated 600mg","Finished Pharmaceutical Product",HIV/AIDS,"Laurus Labs Limited","Tablet, Film-coated","Prequalification - Full",,"12  Jun,  2020"
HA711,"Darunavir Tablet, Film-coated 800mg","Finished Pharmaceutical Product",HIV/AIDS,"Laurus Labs Limited","Tablet, Film-coated","Prequalification - Full",,"12  Jun,  2020"
HA713,"Dolutegravir (sodium)/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 50mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"21  May,  2020"
HA714,"Efavirenz/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 400mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"30  Aug,  2019"
HA715,"Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 200mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Lupin Ltd","Tablet, Film-coated","Prequalification - Full",,"5  Feb,  2020"
HA716,"Ciprofloxacin Tablet, Film-coated 250mg","Finished Pharmaceutical Product",HIV/AIDS,"Unique Pharmaceutical Laboratories (Mumbai)","Tablet, Film-coated","Prequalification - Abridged",,"18  Dec,  2018"
HA717,"Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 200mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Laurus Labs Limited","Tablet, Film-coated","Prequalification - Full",,"22  Aug,  2019"
HA718,"Dolutegravir (sodium) Tablet, Film-coated 50mg","Finished Pharmaceutical Product",HIV/AIDS,"Laurus Labs Limited","Tablet, Film-coated","Prequalification - Full",,"14  Oct,  2019"
HA719,"Darunavir (ethanolate)/Ritonavir Tablet, Film-coated 400mg/50mg","Finished Pharmaceutical Product",HIV/AIDS,"Hetero Labs Ltd","Tablet, Film-coated","Prequalification - Full",,"1  Jul,  2021"
HA720,"Atazanavir (sulfate)/Ritonavir Tablet, Film-coated 300mg/100mg","Finished Pharmaceutical Product",HIV/AIDS,"Lupin Ltd","Tablet, Film-coated","Prequalification - Full",,"4  May,  2022"
HA721,"Efavirenz/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 400mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Abridged",,"31  Oct,  2018"
HA722,"Dolutegravir (sodium)/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 50mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Emcure Pharmaceuticals Limited","Tablet, Film-coated","Prequalification - Full",,"22  Feb,  2021"
HA723,"Darunavir Tablet, Film-coated 400mg","Finished Pharmaceutical Product",HIV/AIDS,"MSN Laboratories Private Limited","Tablet, Film-coated","Prequalification - Full",,"1  Mar,  2022"
HA724,"Darunavir Tablet, Film-coated 600mg","Finished Pharmaceutical Product",HIV/AIDS,"MSN Laboratories Private Limited","Tablet, Film-coated","Prequalification - Full",,"1  Mar,  2022"
HA725,"Darunavir Tablet, Film-coated 800mg","Finished Pharmaceutical Product",HIV/AIDS,"MSN Laboratories Private Limited","Tablet, Film-coated","Prequalification - Full",,"1  Mar,  2022"
HA726,"Emtricitabine/Tenofovir disoproxil fumarate Tablet, Film-coated 200mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Emcure Pharmaceuticals Limited","Tablet, Film-coated","Prequalification - Full",,"21  Apr,  2020"
HA727,"Efavirenz/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 600mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Laurus Labs Limited","Tablet, Film-coated","Prequalification - Full",,"12  Jun,  2020"
HA729,"Dolutegravir (sodium)/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 50mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Strides Pharma Science Limited","Tablet, Film-coated","Prequalification - Full",,"12  Jun,  2020"
HA731,"Dolutegravir (sodium) Tablet, Film-coated 50mg","Finished Pharmaceutical Product",HIV/AIDS,"Strides Pharma Science Limited","Tablet, Film-coated","Prequalification - Full",,"23  Aug,  2022"
HA732,"Efavirenz/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 400mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Laurus Labs Limited","Tablet, Film-coated","Prequalification - Full",,"16  Mar,  2020"
HA734,"Dexamethasone (sodium phosphate) Solution for injection 4mg/ml","Finished Pharmaceutical Product",HIV/AIDS,"Farmak JSC","Solution for injection","Prequalification - Full",,"5  Nov,  2020"
HA735,"Sulfamethoxazole/Trimethoprim Tablet 400mg/80mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd",Tablet,"Prequalification - Full",,"28  Jan,  2021"
HA736,"Sulfamethoxazole/Trimethoprim Tablet 800mg/160mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd",Tablet,"Prequalification - Full",,"28  Jan,  2021"
HA737,"Dolutegravir (sodium)/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 50mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Lupin Ltd","Tablet, Film-coated","Prequalification - Full",,"9  Dec,  2022"
HA738,"Ciprofloxacin Tablet, Film-coated 500mg","Finished Pharmaceutical Product",HIV/AIDS,"Unique Pharmaceutical Laboratories (Mumbai)","Tablet, Film-coated","Prequalification - Abridged",,"11  Jun,  2019"
HA740,"Abacavir (sulfate)/Lamivudine Tablet, Film-coated 600mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"11  May,  2021"
HA741,"Ritonavir Tablet, Film-coated 25mg","Finished Pharmaceutical Product",HIV/AIDS,"Cipla Ltd","Tablet, Film-coated","Prequalification - Full",,"30  Nov,  2021"
